time,latitude,longitude,curl,ektrx,ektry
UTC,degrees_north,degrees_east,MPa m-1,kg m-1 s-1,kg m-1 s-1
2018-06-10T00:00:00Z,27.5,248.5,0.49788427,-215.72177,-579.9666
2018-06-10T00:00:00Z,27.5,249.5,0.14822647,144.11089,-185.00468
2018-06-10T00:00:00Z,27.5,250.5,-0.04298873,163.94098,-87.03916
2018-06-10T00:00:00Z,27.5,251.5,-0.08598387,23.485657,-87.649666
2018-06-10T00:00:00Z,27.5,252.5,-0.077747434,-77.27072,-117.04555
2018-06-10T00:00:00Z,27.5,253.5,-0.080773085,-249.59964,-144.36794
2018-06-10T00:00:00Z,27.5,254.5,0.06234314,-377.47275,-119.3024
2018-06-10T00:00:00Z,27.5,255.5,0.20868546,-58.771427,29.396383
2018-06-10T00:00:00Z,28.5,242.5,-0.37304688,-847.2577,-372.33762
2018-06-10T00:00:00Z,28.5,243.5,-0.66536057,-1320.5991,-988.8261
2018-06-10T00:00:00Z,28.5,244.5,-0.6249843,-1930.4595,-1636.5641
2018-06-10T00:00:00Z,28.5,245.5,-0.25760862,-2165.901,-2134.2222
2018-06-10T00:00:00Z,28.5,246.5,0.31828797,-1643.3489,-2073.7864
2018-06-10T00:00:00Z,28.5,247.5,0.5928363,-713.3191,-1219.407
2018-06-10T00:00:00Z,28.5,248.5,0.37539956,-22.016428,-394.16644
2018-06-10T00:00:00Z,28.5,249.5,0.07021706,243.70505,-156.38348
2018-06-10T00:00:00Z,28.5,250.5,-0.08738917,203.1041,-95.15853
2018-06-10T00:00:00Z,28.5,251.5,-0.088431925,35.20312,-90.829346
2018-06-10T00:00:00Z,28.5,252.5,-0.06823234,-46.414524,-102.25493
2018-06-10T00:00:00Z,28.5,253.5,-0.06422362,-179.43697,-163.02394
2018-06-10T00:00:00Z,28.5,254.5,0.061717343,-203.31601,-151.25691
2018-06-10T00:00:00Z,28.5,255.5,0.21011865,12.201123,-0.9319588
2018-06-10T00:00:00Z,29.5,242.5,-0.72432107,-1531.5228,-681.631
2018-06-10T00:00:00Z,29.5,243.5,-0.87619215,-2025.0798,-1455.61
2018-06-10T00:00:00Z,29.5,244.5,-0.7495552,-2492.6472,-2155.299
2018-06-10T00:00:00Z,29.5,245.5,-0.21964262,-2650.0723,-2683.191
2018-06-10T00:00:00Z,29.5,246.5,0.62126654,-1617.7153,-2311.8884
2018-06-10T00:00:00Z,29.5,247.5,0.6758457,-388.07816,-1186.7115
2018-06-10T00:00:00Z,29.5,248.5,0.27323595,149.46754,-409.52972
2018-06-10T00:00:00Z,29.5,249.5,0.042799328,392.62158,-198.83423
2018-06-10T00:00:00Z,29.5,250.5,-0.12357501,274.54172,-128.26479
2018-06-10T00:00:00Z,29.5,251.5,-0.1076111,49.571217,-87.138405
