CruiseId,     Station,    Date,Time_Local, Latitude,  Longitude,Scan_Count,  Depth_db, Depth_m,Salinity,Temperature_ITS90,Potential_Temperature_ITS90,Density_sigma_theta,Oxygen_SBE43_raw,Oxygen_SBE43,Fluorescence,    Flag
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53545,   823.602,     817, 34.5332,           5.4125,                     5.3423,            27.2649,          0.5172,       1.598,     0.06634,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53569,   822.595,     816, 34.5330,           5.4204,                     5.3502,            27.2638,          0.5166,       1.413,     0.06736,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53603,   821.584,     815, 34.5336,           5.4180,                     5.3479,            27.2645,          0.5167,       1.457,     0.06665,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53647,   820.562,     814, 34.5342,           5.3950,                     5.3251,            27.2678,          0.5164,       1.318,     0.06488,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53673,   819.556,     813, 34.5339,           5.4170,                     5.3471,            27.2649,          0.5164,       1.309,     0.06629,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53692,   818.550,     812, 34.5325,           5.4473,                     5.3773,            27.2602,          0.5164,       1.493,     0.06648,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53712,   817.547,     811, 34.5324,           5.4586,                     5.3887,            27.2587,          0.5164,       1.483,     0.06398,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53740,   816.542,     810, 34.5327,           5.4622,                     5.3923,            27.2585,          0.5164,       1.385,     0.06490,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53837,   815.509,     809, 34.5335,           5.4683,                     5.3985,            27.2584,          0.5159,       1.274,     0.06635,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53853,   814.510,     808, 34.5335,           5.4655,                     5.3958,            27.2587,          0.5161,       1.440,     0.06409,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53873,   813.506,     807, 34.5336,           5.4674,                     5.3978,            27.2586,          0.5161,       1.433,     0.06437,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53900,   812.498,     806, 34.5335,           5.4736,                     5.4040,            27.2578,          0.5159,       1.236,     0.06496,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53989,   811.481,     805, 34.5340,           5.4713,                     5.4019,            27.2584,          0.5161,       1.469,     0.06449,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     54064,   810.472,     804, 34.5339,           5.4778,                     5.4084,            27.2575,          0.5156,       1.221,     0.06467,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     54095,   809.466,     803, 34.5338,           5.4818,                     5.4125,            27.2570,          0.5159,       1.412,     0.06459,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     54154,   808.449,     802, 34.5340,           5.4818,                     5.4125,            27.2571,          0.5159,       1.308,     0.06563,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     54210,   807.432,     801, 34.5340,           5.4802,                     5.4111,            27.2573,          0.5155,       1.149,     0.06420,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     54233,   806.433,     800, 34.5336,           5.4992,                     5.4300,            27.2547,          0.5155,       1.292,     0.06545,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     54481,   805.438,     799, 34.5340,           5.5038,                     5.4347,            27.2545,          0.5158,       1.330,     0.06597,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56325,   804.420,     798, 34.5345,           5.5197,                     5.4506,            27.2529,          0.5155,       1.296,     0.06486,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56852,   803.387,     797, 34.5344,           5.5213,                     5.4522,            27.2526,          0.5153,       1.252,     0.06681,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56822,   802.376,     796, 34.5343,           5.5235,                     5.4545,            27.2523,          0.5153,       1.233,     0.06675,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56835,   801.380,     795, 34.5341,           5.5245,                     5.4556,            27.2520,          0.5157,       1.323,     0.06802,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56849,   800.370,     794, 34.5340,           5.5279,                     5.4591,            27.2515,          0.5156,       1.378,     0.06577,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56863,   799.370,     793, 34.5340,           5.5288,                     5.4601,            27.2514,          0.5154,       1.269,     0.06436,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56879,   798.369,     792, 34.5343,           5.5285,                     5.4599,            27.2516,          0.5155,       1.214,     0.06640,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56940,   797.340,     791, 34.5345,           5.5285,                     5.4600,            27.2518,          0.5154,       1.248,     0.06448,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     56989,   796.320,     790, 34.5343,           5.5288,                     5.4604,            27.2516,          0.5155,       1.230,     0.06422,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57008,   795.310,     789, 34.5342,           5.5298,                     5.4614,            27.2514,          0.5152,       1.233,     0.06649,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57024,   794.313,     788, 34.5340,           5.5315,                     5.4632,            27.2510,          0.5153,       1.252,     0.06279,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57039,   793.304,     787, 34.5339,           5.5369,                     5.4687,            27.2503,          0.5152,       1.134,     0.06484,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57056,   792.297,     786, 34.5334,           5.5481,                     5.4800,            27.2485,          0.5151,       1.134,     0.06393,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57077,   791.294,     785, 34.5340,           5.5443,                     5.4763,            27.2494,          0.5154,       1.304,     0.06576,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57123,   790.265,     784, 34.5340,           5.5436,                     5.4756,            27.2495,          0.5153,       1.215,     0.06468,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57157,   789.254,     783, 34.5342,           5.5423,                     5.4744,            27.2498,          0.5153,       1.207,     0.06757,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57177,   788.252,     782, 34.5337,           5.5547,                     5.4869,            27.2479,          0.5151,       1.170,     0.06435,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57197,   787.242,     781, 34.5333,           5.5741,                     5.5062,            27.2453,          0.5154,       1.235,     0.06680,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57218,   786.230,     780, 34.5340,           5.5706,                     5.5028,            27.2462,          0.5150,       1.188,     0.06423,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57239,   785.222,     779, 34.5323,           5.6054,                     5.5375,            27.2406,          0.5151,       1.108,     0.06514,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57259,   784.214,     778, 34.5329,           5.6160,                     5.5482,            27.2398,          0.5151,       1.191,     0.06570,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57281,   783.206,     777, 34.5326,           5.6381,                     5.5703,            27.2369,          0.5153,       1.237,     0.06478,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57306,   782.198,     776, 34.5340,           5.6534,                     5.5855,            27.2361,          0.5155,       1.359,     0.06197,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57345,   781.179,     775, 34.5348,           5.6031,                     5.5356,            27.2428,          0.5151,       1.119,     0.06459,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57379,   780.164,     774, 34.5352,           5.6026,                     5.5353,            27.2432,          0.5149,       1.098,     0.06447,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57399,   779.152,     773, 34.5330,           5.6666,                     5.5990,            27.2337,          0.5149,       1.072,     0.06444,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57415,   778.150,     772, 34.5315,           5.7046,                     5.6368,            27.2279,          0.5150,       1.175,     0.06594,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57430,   777.143,     771, 34.5309,           5.7120,                     5.6443,            27.2265,          0.5151,       1.278,     0.06676,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57446,   776.139,     770, 34.5304,           5.7159,                     5.6483,            27.2256,          0.5150,       1.186,     0.06518,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57465,   775.135,     769, 34.5308,           5.7151,                     5.6475,            27.2260,          0.5153,       1.266,     0.06649,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57498,   774.119,     768, 34.5320,           5.7053,                     5.6379,            27.2281,          0.5151,       1.169,     0.06378,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57562,   773.096,     767, 34.5311,           5.7140,                     5.6466,            27.2263,          0.5150,       1.160,     0.06400,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57595,   772.079,     766, 34.5320,           5.7002,                     5.6330,            27.2288,          0.5150,       1.166,     0.06319,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57610,   771.070,     765, 34.5328,           5.7033,                     5.6362,            27.2289,          0.5149,       1.165,     0.06514,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57623,   770.069,     764, 34.5315,           5.7235,                     5.6563,            27.2255,          0.5151,       1.201,     0.06414,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57635,   769.063,     763, 34.5308,           5.7430,                     5.6759,            27.2225,          0.5148,       1.164,     0.06312,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57647,   768.059,     762, 34.5302,           5.7507,                     5.6836,            27.2211,          0.5149,       1.076,     0.06694,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57659,   767.057,     761, 34.5302,           5.7612,                     5.6941,            27.2198,          0.5150,       1.131,     0.06418,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57674,   766.055,     760, 34.5300,           5.7654,                     5.6984,            27.2191,          0.5149,       1.157,     0.06377,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57713,   765.025,     759, 34.5309,           5.7618,                     5.6948,            27.2202,          0.5151,       1.242,     0.06291,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57755,   764.005,     758, 34.5312,           5.7633,                     5.6965,            27.2203,          0.5150,       1.181,     0.06400,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57774,   763.014,     757, 34.5318,           5.7469,                     5.6803,            27.2227,          0.5149,       1.058,     0.06383,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57807,   762.001,     756, 34.5317,           5.7563,                     5.6897,            27.2215,          0.5150,       1.165,     0.06386,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57854,   760.972,     755, 34.5314,           5.7765,                     5.7098,            27.2187,          0.5150,       1.106,     0.06486,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57873,   759.969,     754, 34.5309,           5.7982,                     5.7315,            27.2157,          0.5150,       1.187,     0.06647,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57890,   758.962,     753, 34.5315,           5.8126,                     5.7459,            27.2144,          0.5148,       1.155,     0.06428,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57906,   757.953,     752, 34.5300,           5.8354,                     5.7688,            27.2104,          0.5147,       1.054,     0.06803,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57922,   756.957,     751, 34.5300,           5.8432,                     5.7765,            27.2094,          0.5152,       1.193,     0.06535,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57940,   755.941,     750, 34.5300,           5.8567,                     5.7901,            27.2077,          0.5152,       1.353,     0.06442,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57963,   754.937,     749, 34.5305,           5.8544,                     5.7879,            27.2083,          0.5151,       1.218,     0.06412,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     57995,   753.916,     748, 34.5318,           5.8234,                     5.7572,            27.2132,          0.5150,       1.130,     0.06501,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     58028,   752.909,     747, 34.5308,           5.8336,                     5.7674,            27.2111,          0.5150,       1.135,     0.06400,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     58061,   751.893,     746, 34.5314,           5.8382,                     5.7721,            27.2110,          0.5147,       1.054,     0.06475,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     58086,   750.886,     745, 34.5313,           5.8583,                     5.7922,            27.2085,          0.5150,       1.153,     0.06533,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     58105,   749.879,     744, 34.5305,           5.8907,                     5.8245,            27.2038,          0.5148,       1.191,     0.06555,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     58125,   748.871,     743, 34.5300,           5.9126,                     5.8463,            27.2007,          0.5151,       1.198,     0.06778,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     58146,   747.859,     742, 34.5299,           5.9236,                     5.8573,            27.1992,          0.5150,       1.224,     0.06529,0.00E+00
