PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,DOX2 (micromole/kg),DOX2_QC,CPHL (milligram/m3),CPHL_QC,PHPH (none),PHPH_QC,CDOM (ppb),CDOM_QC,DOX2_ADJUSTED (micromole/kg),DOX2_ADJUSTED_QC,DOX2_ADJUSTED_ERROR (micromole/kg),DOX2_ADJUSTED_ERROR_QC,BBP700 (m-1),BBP700_QC,LGHT (micro einstein m-2 s-1),LGHT_QC,DOWN_IRRADIANCE380 (W m-2 nm-1),DOWN_IRRADIANCE380_QC,DOWN_IRRADIANCE412 (W m-2 nm-1),DOWN_IRRADIANCE412_QC,DOWN_IRRADIANCE490 (W m-2 nm-1),DOWN_IRRADIANCE490_QC,CPHL_ADJUSTED (milligram/m3),CPHL_ADJUSTED_QC
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,132.95,1,34.651,1,12.5635,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,135.0,1,34.665,1,12.5188,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,137.02,1,34.669,1,12.4614,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,139.07,1,34.667,1,12.3983,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,141.06,1,34.689,1,12.4122,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,143.06,1,34.706,1,12.4399,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,145.01,1,34.715,1,12.3994,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,146.98,1,34.707,1,12.3438,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,148.86,1,34.709,1,12.3146,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,151.0,1,34.709,1,12.2804,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,152.91,1,34.706,1,12.229,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,154.93,1,34.696,1,12.1143,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,156.84,1,34.687,1,12.0219,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,158.99,1,34.677,1,11.9652,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,161.11,1,34.675,1,11.9374,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,163.07,1,34.675,1,11.9094,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,164.93,1,34.673,1,11.8832,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,167.02,1,34.679,1,11.8779,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,169.04,1,34.689,1,11.8758,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,170.95,1,34.705,1,11.8977,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,172.94,1,34.716,1,11.9102,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,174.91,1,34.723,1,11.925,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,176.9,1,34.726,1,11.9289,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,178.81,1,34.728,1,11.9286,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,180.86,1,34.728,1,11.9231,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,182.87,1,34.731,1,11.8816,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,185.03,1,34.729,1,11.853,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,187.05,1,34.727,1,11.8351,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,188.98,1,34.729,1,11.8237,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,190.9,1,34.729,1,11.7964,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,192.92,1,34.728,1,11.7681,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,194.99,1,34.72,1,11.7043,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,197.04,1,34.717,1,11.667,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,199.01,1,34.713,1,11.6461,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,200.89,1,34.71,1,11.6244,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,203.03,1,34.707,1,11.5886,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,204.98,1,34.701,1,11.5213,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,206.85,1,34.693,1,11.468,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,208.93,1,34.686,1,11.4039,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,210.98,1,34.681,1,11.3718,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,212.91,1,34.679,1,11.2989,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,214.86,1,34.677,1,11.284,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,217.03,1,34.676,1,11.2663,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,219.07,1,34.679,1,11.2508,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,221.1,1,34.678,1,11.2247,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,223.05,1,34.677,1,11.1764,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,225.09,1,34.674,1,11.133,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,227.03,1,34.673,1,11.1092,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,228.85,1,34.672,1,11.0943,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,230.91,1,34.67,1,11.0703,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,232.93,1,34.669,1,11.066,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,235.11,1,34.668,1,11.0449,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,236.98,1,34.666,1,11.0199,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,238.97,1,34.665,1,10.9973,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,240.87,1,34.667,1,10.9777,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,242.99,1,34.666,1,10.969,1,,,,,,,,,,,,,,,,,,,,,,,,
