//<Encoding>UTF-8</Encoding>
Cruise	QF	Station	QF	Type	QF	yyyy-mm-ddThh:mm:ss.sss	QF	Longitude [degrees_east]	QF	Latitude [degrees_north]	QF	QV:ODV:STATION	Dummy Var	Longitude	Latitude	Time [yr]	Day of Year	Longitude @ Dummy Var=first	Latitude @ Dummy Var=first	Time [yr] @ Dummy Var=first	Day of Year @ Dummy Var=first	Depth [m]  at  Oxygen [ml/l]=0.45 @ Depth [m]  at  Oxygen [ml/l]=0.45=first
WOA13_1.00deg_1955-2012_Annual	1	25946	1	B	1		1	246.50000	1	13.50000	1	1	0	246.5	13.5			246.5	13.5			144.563
WOA13_1.00deg_1955-2012_Annual	1	25947	1	B	1		1	247.50000	1	13.50000	1	1	0	247.5	13.5			247.5	13.5			143.222
WOA13_1.00deg_1955-2012_Annual	1	25948	1	B	1		1	248.50000	1	13.50000	1	1	0	248.5	13.5			248.5	13.5			139.192
WOA13_1.00deg_1955-2012_Annual	1	25949	1	B	1		1	249.50000	1	13.50000	1	1	0	249.5	13.5			249.5	13.5			133.326
WOA13_1.00deg_1955-2012_Annual	1	25950	1	B	1		1	250.50000	1	13.50000	1	1	0	250.5	13.5			250.5	13.5			139.26
WOA13_1.00deg_1955-2012_Annual	1	25951	1	B	1		1	251.50000	1	13.50000	1	1	0	251.5	13.5			251.5	13.5			138.093
WOA13_1.00deg_1955-2012_Annual	1	25952	1	B	1		1	252.50000	1	13.50000	1	1	0	252.5	13.5			252.5	13.5			132.383
WOA13_1.00deg_1955-2012_Annual	1	25953	1	B	1		1	253.50000	1	13.50000	1	1	0	253.5	13.5			253.5	13.5			132.546
WOA13_1.00deg_1955-2012_Annual	1	25954	1	B	1		1	254.50000	1	13.50000	1	1	0	254.5	13.5			254.5	13.5			129.545
WOA13_1.00deg_1955-2012_Annual	1	25955	1	B	1		1	255.50000	1	13.50000	1	1	0	255.5	13.5			255.5	13.5			126.7
WOA13_1.00deg_1955-2012_Annual	1	25956	1	B	1		1	256.50000	1	13.50000	1	1	0	256.5	13.5			256.5	13.5			127.899
WOA13_1.00deg_1955-2012_Annual	1	25957	1	B	1		1	257.50000	1	13.50000	1	1	0	257.5	13.5			257.5	13.5			124.5
WOA13_1.00deg_1955-2012_Annual	1	25958	1	B	1		1	258.50000	1	13.50000	1	1	0	258.5	13.5			258.5	13.5			125.088
WOA13_1.00deg_1955-2012_Annual	1	25959	1	B	1		1	259.50000	1	13.50000	1	1	0	259.5	13.5			259.5	13.5			125.146
WOA13_1.00deg_1955-2012_Annual	1	26203	1	B	1		1	240.50000	1	14.50000	1	1	0	240.5	14.5			240.5	14.5			161.061
WOA13_1.00deg_1955-2012_Annual	1	26204	1	B	1		1	241.50000	1	14.50000	1	1	0	241.5	14.5			241.5	14.5			160.192
WOA13_1.00deg_1955-2012_Annual	1	26205	1	B	1		1	242.50000	1	14.50000	1	1	0	242.5	14.5			242.5	14.5			158.055
WOA13_1.00deg_1955-2012_Annual	1	26206	1	B	1		1	243.50000	1	14.50000	1	1	0	243.5	14.5			243.5	14.5			157.431
WOA13_1.00deg_1955-2012_Annual	1	26207	1	B	1		1	244.50000	1	14.50000	1	1	0	244.5	14.5			244.5	14.5			156.531
WOA13_1.00deg_1955-2012_Annual	1	26208	1	B	1		1	245.50000	1	14.50000	1	1	0	245.5	14.5			245.5	14.5			152.414
WOA13_1.00deg_1955-2012_Annual	1	26209	1	B	1		1	246.50000	1	14.50000	1	1	0	246.5	14.5			246.5	14.5			148.026
WOA13_1.00deg_1955-2012_Annual	1	26210	1	B	1		1	247.50000	1	14.50000	1	1	0	247.5	14.5			247.5	14.5			147.184
WOA13_1.00deg_1955-2012_Annual	1	26211	1	B	1		1	248.50000	1	14.50000	1	1	0	248.5	14.5			248.5	14.5			143.219
WOA13_1.00deg_1955-2012_Annual	1	26212	1	B	1		1	249.50000	1	14.50000	1	1	0	249.5	14.5			249.5	14.5			132.294
WOA13_1.00deg_1955-2012_Annual	1	26213	1	B	1		1	250.50000	1	14.50000	1	1	0	250.5	14.5			250.5	14.5			139.525
WOA13_1.00deg_1955-2012_Annual	1	26214	1	B	1		1	251.50000	1	14.50000	1	1	0	251.5	14.5			251.5	14.5			138.252
WOA13_1.00deg_1955-2012_Annual	1	26215	1	B	1		1	252.50000	1	14.50000	1	1	0	252.5	14.5			252.5	14.5			137.317
WOA13_1.00deg_1955-2012_Annual	1	26216	1	B	1		1	253.50000	1	14.50000	1	1	0	253.5	14.5			253.5	14.5			130.587
WOA13_1.00deg_1955-2012_Annual	1	26217	1	B	1		1	254.50000	1	14.50000	1	1	0	254.5	14.5			254.5	14.5			127.343
WOA13_1.00deg_1955-2012_Annual	1	26218	1	B	1		1	255.50000	1	14.50000	1	1	0	255.5	14.5			255.5	14.5			120.886
WOA13_1.00deg_1955-2012_Annual	1	26219	1	B	1		1	256.50000	1	14.50000	1	1	0	256.5	14.5			256.5	14.5			118.443
WOA13_1.00deg_1955-2012_Annual	1	26220	1	B	1		1	257.50000	1	14.50000	1	1	0	257.5	14.5			257.5	14.5			121.239
WOA13_1.00deg_1955-2012_Annual	1	26221	1	B	1		1	258.50000	1	14.50000	1	1	0	258.5	14.5			258.5	14.5			118.167
WOA13_1.00deg_1955-2012_Annual	1	26222	1	B	1		1	259.50000	1	14.50000	1	1	0	259.5	14.5			259.5	14.5			116.373
WOA13_1.00deg_1955-2012_Annual	1	26464	1	B	1		1	240.50000	1	15.50000	1	1	0	240.5	15.5			240.5	15.5			178.147
WOA13_1.00deg_1955-2012_Annual	1	26465	1	B	1		1	241.50000	1	15.50000	1	1	0	241.5	15.5			241.5	15.5			177.079
WOA13_1.00deg_1955-2012_Annual	1	26466	1	B	1		1	242.50000	1	15.50000	1	1	0	242.5	15.5			242.5	15.5			175.237
WOA13_1.00deg_1955-2012_Annual	1	26467	1	B	1		1	243.50000	1	15.50000	1	1	0	243.5	15.5			243.5	15.5			172.487
WOA13_1.00deg_1955-2012_Annual	1	26468	1	B	1		1	244.50000	1	15.50000	1	1	0	244.5	15.5			244.5	15.5			168.82
WOA13_1.00deg_1955-2012_Annual	1	26469	1	B	1		1	245.50000	1	15.50000	1	1	0	245.5	15.5			245.5	15.5			163.893
WOA13_1.00deg_1955-2012_Annual	1	26470	1	B	1		1	246.50000	1	15.50000	1	1	0	246.5	15.5			246.5	15.5			156.165
WOA13_1.00deg_1955-2012_Annual	1	26471	1	B	1		1	247.50000	1	15.50000	1	1	0	247.5	15.5			247.5	15.5			149.072
WOA13_1.00deg_1955-2012_Annual	1	26472	1	B	1		1	248.50000	1	15.50000	1	1	0	248.5	15.5			248.5	15.5			135.581
WOA13_1.00deg_1955-2012_Annual	1	26473	1	B	1		1	249.50000	1	15.50000	1	1	0	249.5	15.5			249.5	15.5			135.026
WOA13_1.00deg_1955-2012_Annual	1	26474	1	B	1		1	250.50000	1	15.50000	1	1	0	250.5	15.5			250.5	15.5			134.908
WOA13_1.00deg_1955-2012_Annual	1	26475	1	B	1		1	251.50000	1	15.50000	1	1	0	251.5	15.5			251.5	15.5			137.882
